,0
2019-01-31,1.0
2019-02-28,1.0256212971022465
2019-03-29,1.0568667082468488
2019-04-30,1.0400368588466795
2019-05-31,1.0456179822507778
2019-06-28,1.1133143077334442
2019-07-31,1.1272460882919384
2019-08-30,1.1977800109832277
2019-09-30,1.1598717388379465
2019-10-31,1.186167074435416
2019-11-29,1.1729901424170865
2019-12-31,1.1904043211483755
2020-01-31,1.1327097530733794
2020-02-28,1.1598634586944492
2020-03-31,1.132818685684525
2020-04-30,1.1676921546230903
2020-05-29,1.28940564455072
2020-06-30,1.229710555540906
2020-07-31,1.162270240175997
2020-08-31,1.191563957859389
2020-09-30,1.1889966702750838
2020-10-30,1.2003090554406401
2020-11-30,1.1597296136704025
2020-12-31,1.1946173036477408
2021-01-29,1.2304244937071007
2021-02-26,1.2987572074037574
2021-03-31,1.321905916553137
2021-04-30,1.3751809622657776
2021-05-31,1.4552727814722297
2021-06-30,1.6034111196854282
2021-07-30,1.6386134907382062
2021-08-31,1.6219443113551728
2021-09-30,1.6018495685280492
2021-10-29,1.636332495217217
2021-11-30,1.789547469995359
2021-12-31,1.8749978706382855
2022-01-31,1.879559600711208
2022-02-28,1.9400111852224087
2022-03-31,1.9608011996698873
2022-04-29,2.1338701202673875
2022-05-31,2.123925275978727
2022-06-30,2.3419028898492726
2022-07-29,2.1775046057009617
2022-08-31,2.274802150557131
2022-09-30,2.475267158667913
2022-10-31,2.3084187077489253
2022-11-30,2.342471172750196
2022-12-30,2.373898598334481
2023-01-31,2.3950219487600557
2023-02-28,2.4073341170832605
2023-03-31,2.291488095573965
2023-04-28,2.451969360759458
2023-05-31,2.538515632914731
2023-06-30,2.6203239880389977
2023-07-31,2.7992785094149206
2023-08-31,2.8618985807081168
2023-09-29,3.163766596308879
2023-10-31,3.361981204139774
2023-11-30,3.3741055374462587
2023-12-29,3.4581444558542214
2024-01-31,3.3849009714277853
2024-02-29,3.3501201911151925
2024-03-29,3.6348424296560715
2024-04-30,3.8056474150855815
2024-05-31,3.9018042718404518
2024-06-28,4.006875048404317
2024-07-31,4.288945342872121
2024-08-30,4.531356810551617
2024-09-30,4.715696609858876
2024-10-31,4.5144353302679905
2024-11-29,4.394887709233231
2024-12-31,4.207034900953218
2025-01-31,4.209513011280041
2025-02-28,4.327037796430498
2025-03-31,4.551415151504553
2025-04-30,4.706714850487339
2025-05-30,4.747032540155962
2025-06-30,4.746227476967324
2025-07-31,4.855258485062034
2025-08-29,5.105385542595945
2025-09-30,4.900978094648324
2025-10-31,4.961759044240323
2025-11-28,4.972001928585994
2025-12-31,4.9472500171053
2026-01-30,5.201203513864926
2026-02-27,5.324355366762369
2026-03-31,5.32672765312284
2026-04-30,5.446560200505329
2026-05-29,5.474260271951961
2026-06-30,5.427855781188566
2026-07-10,5.507708828526013
